SampleID	PrimerPairID	BarcodeID	ProjectID
SouthShore_April_0	COI-A	SouthShore_April	COI
stream_May_1	16SrDNA	stream_May	16S
SouthShore_April_2	16SrDNA	SouthShore_April	16S
SouthShore_May_3	16SrDNA	SouthShore_May	16S
stream_May_4	COI-B	stream_May	COI
SouthShore_April_5	COI-B	SouthShore_April	COI
SouthShore_May_6	COI-B	SouthShore_May	COI
stream_May_7	18SrDNAV1	stream_May	18S
SouthShore_April_8	18SrDNAV1	SouthShore_April	18S
SouthShore_May_9	18SrDNAV1	SouthShore_May	18S
stream_May_10	28SrDNA	stream_May	28S
SouthShore_April_11	28SrDNA	SouthShore_April	28S
SouthShore_May_12	28SrDNA	SouthShore_May	28S
